"Comprend les transactions Amazon Marketplace, Expédié par Amazon et Boutique en ligne Amazon"
"Tous les montants sont en EUR, sauf indication contraire"
"Définitions :"
"Taxes de ventes prélevées : Inclut les taxes de vente prélevées auprès des acheteurs pour les ventes de produits, l’expédition et les emballages-cadeaux."
"Frais de vente : Comprend les frais de clôture estimés et les frais de vente."
"Autres frais de transaction : Comprend les rétrofacturations de l’expédition, les retenues sur l’expédition, les frais par article et les frais de recouvrement des taxes de vente."
"Autres : Inclut les montants des transactions non liées à une commande. Pour plus d’informations, consultez les colonnes « Type » et « Description » pour chaque numéro de commande."
"date/heure","Identifiant du paiement","type","Numéro de la commande","SKU","description","quantité","site de vente","expédition","ville de la commande","état de la commande","commande postale","ventes de produits","crédits d’expédition","crédits d’emballage-cadeau","Total des réductions","taxe de ventes prélevée","Taxe Marketplace Facilitator","frais de vente","Frais pour le service Expédié par Amazon","autres frais de transaction","autres","total"
"13 mars 2025 22:06:33 UTC","24314648102","Commande","408-0260192-4329118","L7-UJO5-2Z9P","BUTIRESIN Ensemble de résine époxy, 16oz/474ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.com.be","Amazon","Leernes","Hainaut","6142","13,58","0","0","0","2,85","-2,85","-2,46","-4,14","0","0","6,98"
"16 mars 2025 00:07:01 UTC","24314648102","Commande","403-5931325-3324368","L7-UJO5-2Z9P","BUTIRESIN Ensemble de résine époxy, 16oz/474ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.com.be","Amazon","zaventem","","1930","13,58","2,06","0","0","3,28","-3,28","-2,46","-6,23","0","0","6,95"
"18 mars 2025 20:22:02 UTC","24395211262","Transférer","","","Au compte se terminant par : 332","","","","","","","0","0","0","0","0","0","0","0","0","-145,05","-145,05"
"19 mars 2025 23:26:55 UTC","24395211262","Commande","408-8270028-1172308","L7-UJO5-2Z9P","BUTIRESIN Ensemble de résine époxy, 16oz/474ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.com.be","Amazon","Petit-Enghien","","7850","13,58","1,03","0","-1,03","2,85","-2,85","-2,46","-4,14","0","0","6,98"
"20 mars 2025 16:13:56 UTC","24395211262","Commande","406-6366736-6776326","L7-UJO5-2Z9P","BUTIRESIN Ensemble de résine époxy, 16oz/474ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.com.be","Amazon","Rochefort","","5580","13,58","0,52","0","-0,52","2,85","-2,85","-2,46","-4,14","0","0","6,98"
"20 mars 2025 20:49:33 UTC","24395211262","Commande","404-7802299-8586703","L7-UJO5-2Z9P","BUTIRESIN Ensemble de résine époxy, 16oz/474ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.com.be","Amazon","Roux","","6044","13,58","0","0","0","2,85","-2,85","-2,46","-4,14","0","0","6,98"
"20 mars 2025 22:27:20 UTC","24395211262","Commande","171-2928594-0458713","L7-UJO5-2Z9P","BUTIRESIN Ensemble de résine époxy, 16oz/474ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.com.be","Amazon","Bruxelles","","1060","13,58","0","0","0","2,85","-2,85","-2,46","-4,14","0","0","6,98"
"21 mars 2025 22:50:40 UTC","24395211262","Commande","405-5678657-5065132","L7-UJO5-2Z9P","BUTIRESIN Ensemble de résine époxy, 16oz/474ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.com.be","Amazon","Thuillies","","6536","13,58","0","0","0","2,85","-2,85","-2,46","-4,14","0","0","6,98"
"25 mars 2025 20:53:31 UTC","24395211262","Commande","405-8767334-0085923","L7-UJO5-2Z9P","BUTIRESIN Ensemble de résine époxy, 16oz/474ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.com.be","Amazon","maubray","","7640","13,58","0","0","0","2,85","-2,85","-2,46","-4,14","0","0","6,98"
"25 mars 2025 21:26:21 UTC","24395211262","Commande","403-6957967-5829935","L7-UJO5-2Z9P","BUTIRESIN Ensemble de résine époxy, 16oz/474ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.com.be","Amazon","Chapelle-Lez-Herlaimont","","7160","13,58","0","0","0","2,85","-2,85","-2,46","-4,14","0","0","6,98"
"26 mars 2025 21:21:13 UTC","24395211262","Commande","405-3318060-5637145","L7-UJO5-2Z9P","BUTIRESIN Ensemble de résine époxy, 16oz/474ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.com.be","Amazon","Meulebeke","West-Vlaanderen","8760","13,58","0","0","0","2,85","-2,85","-2,46","-4,14","0","0","6,98"
"27 mars 2025 21:17:09 UTC","24395211262","Commande","406-3899894-8533152","L7-UJO5-2Z9P","BUTIRESIN Ensemble de résine époxy, 16oz/474ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.com.be","Amazon","Anderlecht","","1070","13,58","2,06","0","0","3,28","-3,28","-2,46","-6,23","0","0","6,95"
"28 mars 2025 17:38:25 UTC","24395211262","Commande","404-1671221-2169960","L7-UJO5-2Z9P","BUTIRESIN Ensemble de résine époxy, 16oz/474ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.com.be","Amazon","Jette","","1090","13,58","0,69","0","-0,69","2,85","-2,85","-2,46","-4,14","0","0","6,98"
"28 mars 2025 21:15:10 UTC","24395211262","Commande","402-7171676-4111524","L7-UJO5-2Z9P","BUTIRESIN Ensemble de résine époxy, 16oz/474ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.com.be","Amazon","Bruxelles","","1020","13,81","2,49","0","0","0","0","-2,46","-6,23","0","0","7,61"
"29 mars 2025 21:36:22 UTC","24395211262","Commande","171-9023444-3002760","L7-UJO5-2Z9P","BUTIRESIN Ensemble de résine époxy, 16oz/474ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.com.be","Amazon","Rillaar","","3202","13,58","0,69","0","-0,69","2,85","-2,85","-2,46","-4,14","0","0","6,98"
"30 mars 2025 22:54:56 UTC","24395211262","Commande","402-8873315-4350735","L7-UJO5-2Z9P","BUTIRESIN Ensemble de résine époxy, 16oz/474ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.com.be","Amazon","Tongrinne","","5140","13,58","0","0","0","2,85","-2,85","-2,46","-4,14","0","0","6,98"
"30 mars 2025 23:21:46 UTC","24395211262","Commande","407-0153256-1837966","L7-UJO5-2Z9P","BUTIRESIN Ensemble de résine époxy, 16oz/474ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.com.be","Amazon","Loncin","","4431","13,58","0","0","0","2,85","-2,85","-2,46","-4,14","0","0","6,98"
