"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Eingezogene Umsatzsteuer: Einschließlich von Käufern eingezogene Umsatzsteuer für Produktverkäufe, Versand und Geschenkverpackung."
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Steuererhebungsmodell","Umsätze","Produktumsatzsteuer","Gutschrift für Versandkosten","Steuer auf Versandgutschrift","Gutschrift für Geschenkverpackung","Steuer auf Geschenkverpackungsgutschriften","Rabatte aus Werbeaktionen","Steuer auf Aktionsrabatte","Einbehaltene Steuer auf Marketplace","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"02.03.2025 05:48:29 UTC","24364452482","Servicegebühr","","","Werbekosten","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-35,24","0","-35,24"
"02.03.2025 22:01:14 UTC","24364452482","Bestellung","304-3410392-1604343","V7-RISD-G3FS","YOBTOP Epoxidharz Set, 948ml/32oz Epoxidharz mit Härter Glasklar Gießharz Nicht Giftig Geruchsarm Blasenfrei Resin Gießharz für DIY Kunst, Schmuck","1","amazon.de","Amazon","Brabrand","Midtjylland","8220","MarketplaceFacilitator","14,78","3,70","1,63","0,41","0","0","-4,59","-1,15","-2,96","-1,92","-4,39","0","0","5,51"
"03.03.2025 08:07:05 UTC","24364452482","Bestellung","028-5565462-5989146","VA-DWTY-9F36","YOBTOP Epoxidharz Set, 2370ml/80oz Epoxidharz mit Härter Glasklar Gießharz Nicht Giftig Geruchsarm Blasenfrei Resin Gießharz für DIY Kunst, Schmuc","1","amazon.de","Amazon","Unterwart","Burgenland","7502","MarketplaceFacilitator","26,34","5,27","0","0","0","0","0","0","-5,27","-4,07","-5,77","0","0","16,50"
"03.03.2025 11:33:14 UTC","24364452482","Bestellung","304-7399550-6550768","1B-O48G-R8YJ","YOBTOP Epoxidharz Set, 474ml/16oz Epoxidharz mit Härter Glasklar Gießharz Nicht Giftig Geruchsarm Blasenfrei Resin Gießharz für DIY Kunst, Schmuck","1","amazon.de","Amazon","Düren","Nordrhein-Westfalen","52353","MarketplaceFacilitator","9,59","1,82","0","0","0","0","0","0","-1,82","-1,48","-3,52","0","0","4,59"
"03.03.2025 13:03:44 UTC","24364452482","Bestellung","304-2860255-3417904","1B-O48G-R8YJ","YOBTOP Epoxidharz Set, 474ml/16oz Epoxidharz mit Härter Glasklar Gießharz Nicht Giftig Geruchsarm Blasenfrei Resin Gießharz für DIY Kunst, Schmuck","1","amazon.de","Amazon","Katzenelnbogen","","56368","MarketplaceFacilitator","9,59","1,82","0","0","0","0","0","0","-1,82","-1,48","-3,52","0","0","4,59"
"03.03.2025 17:50:36 UTC","24364452482","Bestellung","302-2061042-8917117","1B-O48G-R8YJ","YOBTOP Epoxidharz Set, 474ml/16oz Epoxidharz mit Härter Glasklar Gießharz Nicht Giftig Geruchsarm Blasenfrei Resin Gießharz für DIY Kunst, Schmuck","1","amazon.de","Amazon","München","","80807","MarketplaceFacilitator","9,59","1,82","0,34","0,06","0","0","-0,34","-0,06","-1,82","-1,48","-3,52","0","0","4,59"
"03.03.2025 19:52:12 UTC","24364452482","Bestellung","305-8205873-4004305","1B-O48G-R8YJ","YOBTOP Epoxidharz Set, 474ml/16oz Epoxidharz mit Härter Glasklar Gießharz Nicht Giftig Geruchsarm Blasenfrei Resin Gießharz für DIY Kunst, Schmuck","1","amazon.de","Amazon","Bilsen","","25485","MarketplaceFacilitator","9,59","1,82","3,35","0,64","0","0","0","0","-2,46","-1,48","-6,87","0","0","4,59"
"03.03.2025 21:52:34 UTC","24364452482","Bestellung","304-9253692-9671562","1B-O48G-R8YJ","YOBTOP Epoxidharz Set, 474ml/16oz Epoxidharz mit Härter Glasklar Gießharz Nicht Giftig Geruchsarm Blasenfrei Resin Gießharz für DIY Kunst, Schmuck","1","amazon.de","Amazon","Daun","Rheinland-Pfalz","54550","MarketplaceFacilitator","9,59","1,82","0","0","0","0","0","0","-1,82","-1,48","-3,52","0","0","4,59"
"03.03.2025 22:35:53 UTC","24364452482","Bestellung","304-2123986-2341114","V7-RISD-G3FS","YOBTOP Epoxidharz Set, 948ml/32oz Epoxidharz mit Härter Glasklar Gießharz Nicht Giftig Geruchsarm Blasenfrei Resin Gießharz für DIY Kunst, Schmuck","1","amazon.de","Amazon","Haan","","42781","MarketplaceFacilitator","14,78","2,81","3,35","0,64","0","0","-2,96","-0,56","-2,89","-1,83","-7,74","0","0","5,60"
"03.03.2025 23:23:53 UTC","24364452482","Bestellung","302-2943160-4097916","1B-O48G-R8YJ","YOBTOP Epoxidharz Set, 474ml/16oz Epoxidharz mit Härter Glasklar Gießharz Nicht Giftig Geruchsarm Blasenfrei Resin Gießharz für DIY Kunst, Schmuck","1","amazon.de","Amazon","Tuttlingen","Baden-Württemberg","78532","MarketplaceFacilitator","9,59","1,82","0","0","0","0","0","0","-1,82","-1,48","-3,52","0","0","4,59"
"04.03.2025 06:39:22 UTC","24376747262","Übertrag","","","Für Konten mit folgenden Endziffern: 201","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-231,82","-231,82"
"04.03.2025 16:43:52 UTC","24376747262","Bestellung","305-8529981-9821928","VA-DWTY-9F36","YOBTOP Epoxidharz Set, 2370ml/80oz Epoxidharz mit Härter Glasklar Gießharz Nicht Giftig Geruchsarm Blasenfrei Resin Gießharz für DIY Kunst, Schmuc","1","amazon.de","Amazon","Mauthausen","","4310","MarketplaceFacilitator","26,34","5,27","0","0","0","0","0","0","-5,27","-4,07","-5,77","0","0","16,50"
