"Amazon 出品サービス、フルフィルメント by Amazon (FBA)"
"指定のない場合、単位は円"
"定義："
"売上税徴収額：商品売上、配送料、ギフト包装料として購入者から徴収した売上税"
"販売手数料：カテゴリー成約料と販売手数料が含まれます。"
"トランザクションに関するその他の手数料：FBA 配送料のチャージバックまたは、出品者出荷の配送料にかかる手数料"
"その他：注文以外に関する取引金額。詳しくは、各注文番号のトランザクションの種類と、説明の各項目をご覧ください。"
"日付/時間","決済番号","トランザクションの種類","注文番号","SKU","説明","数量","Amazon 出品サービス","フルフィルメント","市町村","都道府県","郵便番号","税金徴収型","商品売上","商品の売上税","配送料","配送料の税金","ギフト包装手数料","ギフト包装クレジットの税金","Amazonポイントの費用","プロモーション割引額","プロモーション割引の税金","源泉徴収税を伴うマーケットプレイス","手数料","FBA 手数料","トランザクションに関するその他の手数料","その他","合計"
"2025/03/01 4:40:19 JST","11972516293","注文外料金","2c306ca2-95d2-47c8-b462-fdc005aa4053","","クーポン償還手数料: ¥1500の割引 uv ライト レジン用","8","Amazon.co.jp","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-480","0","-480"
"2025/03/01 4:55:17 JST","11972516293","注文","503-6963396-6453464","UV-300g-JP-new","ButiResin レジン液 300g UVレジン液 大容量 ハードタイプ UV‐LED対応 高い透明度 急速硬化 黄変なし 低刺激 DIY レジ�","1","amazon.jp","Amazon","","千葉県","261-001","","1,634","163","0","0","0","0","-18","-164","-16","0","-240","-318","0","0","1,041"
"2025/03/01 5:07:55 JST","11972516293","注文","249-2776836-8973417","UV-300g-JP-new","ButiResin レジン液 300g UVレジン液 大容量 ハードタイプ UV‐LED対応 高い透明度 急速硬化 黄変なし 低刺激 DIY レジ�","1","amazon.jp","Amazon","","埼玉県","360-001","","2,255","225","0","0","0","0","-25","0","0","0","-270","-318","0","0","1,867"
"2025/03/01 5:20:55 JST","11972516293","注文","249-1997178-8018241","UV-300g-JP-new","ButiResin レジン液 300g UVレジン液 大容量 ハードタイプ UV‐LED対応 高い透明度 急速硬化 黄変なし 低刺激 DIY レジ�","1","amazon.jp","Amazon","","東京都","113-003","","2,164","216","0","0","0","0","0","0","0","0","-262","-318","-24","0","1,776"
"2025/03/01 5:30:39 JST","11972516293","注文","250-8541050-4083026","L7-L4CC-G9SC","BUTIRESIN レジン液 大容量 360g UVレジン液 速硬化 高い透明度 低臭 黄ばみ防止 気泡なし ハードタイプ UV/LED対応レ�","1","amazon.jp","Amazon","","愛知県","487-003","","2,073","207","0","0","0","0","-23","0","0","0","-136","-318","0","0","1,803"
"2025/03/01 5:53:17 JST","11972516293","注文","503-9587725-5465402","KY-96VH-IIX0","BUTIRESIN UVライト アドバンス 2 in 1 両面長時間設定 (60 秒、180 秒、300 秒) 48 個の LED 48W 360 度サラウンド光源 樹脂�","1","amazon.jp","Amazon","","岐阜県","504-003","","6,891","689","0","0","0","0","-76","0","0","0","-450","-485","0","0","6,569"
"2025/03/01 6:00:13 JST","11972516293","注文","249-5053833-4750214","UV-300g-JP-new","ButiResin レジン液 300g UVレジン液 大容量 ハードタイプ UV‐LED対応 高い透明度 急速硬化 黄変なし 低刺激 DIY レジ�","1","amazon.jp","Amazon","","千葉県","277-086","","2,255","225","0","0","0","0","-25","-455","-45","0","-215","-318","0","0","1,422"
"2025/03/01 6:17:14 JST","11972516293","注文","503-2225315-1707806","NZ-WXWN-8YU7","ButiResinレジン1000g UVレジン液 大容量 ハードタイプ UV-LED対応 高い透明度 急速硬化 黄ばみなし DIY レジンアート �","1","amazon.jp","Amazon",",","愛知県","470-022","","6,363","636","0","0","0","0","-70","0","0","0","-416","-465","0","0","6,048"
"2025/03/01 7:05:50 JST","11972516293","注文","503-9988970-4543831","UV-300g-JP-new","ButiResin レジン液 300g UVレジン液 大容量 ハードタイプ UV‐LED対応 高い透明度 急速硬化 黄変なし 低刺激 DIY レジ�","1","amazon.jp","Amazon","","兵庫県","661-097","","2,255","225","0","0","0","0","-25","0","0","0","-270","-318","0","0","1,867"
"2025/03/01 7:31:45 JST","11972516293","注文","249-4826418-7850248","UV-300g-JP-new","ButiResin レジン液 300g UVレジン液 大容量 ハードタイプ UV‐LED対応 高い透明度 急速硬化 黄変なし 低刺激 DIY レジ�","1","amazon.jp","Amazon","","富山県","939-135","","1,634","163","0","0","0","0","-18","0","0","0","-196","-318","0","0","1,265"
