"Incluye transacciones del Marketplace de Amazon, Logística de Amazon y Amazon Webstore"
"Todos los importes en EUR, a menos que se especifique lo contrario"
"Definiciones:"
"Recaudación de impuestos sobre ventas: incluye los impuestos sobre ventas recaudados al comprador respecto al producto, el envío y el envoltorio para regalo."
"Tarifas por venta: incluyen tarifas variables por cierre de venta y tarifas por referencia."
"Tarifas de otras transacciones: incluye reintegros de los cargos por envío, retenciones de envío y tarifas de impuestos sobre ventas."
"Otro: incluye importes de transacciones distintas del pedido. Para mas información, consulta las columnas ""Tipo"" y ""Descripción"" de cada número de pedido."
"fecha y hora","identificador de pago","tipo","número de pedido","sku","descripción","cantidad","web de Amazon","gestión logística","ciudad de procedencia del pedido","comunidad autónoma de procedencia del pedido","código postal de procedencia del pedido","Formulario de recaudación de impuestos","ventas de productos","impuesto de ventas de productos","abonos de envío","impuestos por abonos de envío","abonos de envoltorio para regalo","impuestos por abonos de envoltorio para regalo","devoluciones promocionales","impuestos de descuentos por promociones","impuesto retenido en el sitio web","tarifas de venta","tarifas de Logística de Amazon","tarifas de otras transacciones","otro","total"
"6 mar 2025 20:25:10 UTC","24390394242","Pedido","406-8431092-6277104","EPR-EU1G","EPRESINART Resina Epoxi, 3785ml Resina Epoxi No Tóxica, 1:1 Epoxy Resina Transparente Kit para Madera, Creaciones Artísticas, Restauración, Azulejo","1","amazon.es","Amazon","Sangonera la verde","Region de Murcia","30833","MarketplaceFacilitator","50,24","10,55","1,64","0,35","0","0","-1,64","-0,35","-10,55","-7,90","-7,02","-0,16","0","35,16"
"6 mar 2025 22:00:47 UTC","24390394242","Pedido","405-1201155-6725952","9W-G2D2-1J3T","BUTIRESIN Juego de Resina Epoxi, 32oz/948ml, Transparente, No Tóxica, Proporción 1:1; Apto para alimentos y sin olores, sin burbujas, revestimiento","1","amazon.es","Amazon","Inca","Baleares","07300","MarketplaceFacilitator","20,28","4,26","0","0","0","0","-4,06","-0,85","-3,41","-2,94","-4,31","-0,06","0","8,91"
"6 mar 2025 22:07:10 UTC","24390394242","Pedido","405-5989931-7258746","9W-G2D2-1J3T","BUTIRESIN Juego de Resina Epoxi, 32oz/948ml, Transparente, No Tóxica, Proporción 1:1; Apto para alimentos y sin olores, sin burbujas, revestimiento","1","amazon.es","Amazon","Inca","Baleares","07300","MarketplaceFacilitator","20,28","4,26","0","0","0","0","-4,06","-0,85","-3,41","-2,94","-4,31","-0,06","0","8,91"
"6 mar 2025 22:24:16 UTC","24390394242","Pedido","406-5646962-0363547","L7-UJO5-2Z9P","BUTIRESIN Juego de Resina Epoxi, 16z/474ml, Transparente, No Tóxica, Proporción 1:1; Apto para alimentos y sin olores, sin burbujas, revestimiento a","1","amazon.es","Amazon","Barcelona","Barcelona","08018","","15,14","0","0","0","0","0","-3,03","0","0","-1,82","-4,05","-0,04","0","6,20"
"6 mar 2025 22:41:15 UTC","24390394242","Pedido","404-0345344-2539515","L7-UJO5-2Z9P","BUTIRESIN Juego de Resina Epoxi, 16z/474ml, Transparente, No Tóxica, Proporción 1:1; Apto para alimentos y sin olores, sin burbujas, revestimiento a","1","amazon.es","Amazon","BARCELONA","BARCELONA","08033","MarketplaceFacilitator","12,51","2,63","0","0","0","0","-2,50","-0,53","-2,10","-1,82","-4,05","-0,04","0","4,10"
"6 mar 2025 23:51:20 UTC","24390394242","Pedido","404-8272206-5101156","L7-UJO5-2Z9P","BUTIRESIN Juego de Resina Epoxi, 16z/474ml, Transparente, No Tóxica, Proporción 1:1; Apto para alimentos y sin olores, sin burbujas, revestimiento a","1","amazon.es","Amazon","Madrid","Madrid","28010","MarketplaceFacilitator","12,51","2,63","0","0","0","0","-2,50","-0,53","-2,10","-1,82","-4,05","-0,04","0","4,10"
"7 mar 2025 3:45:07 UTC","24402118732","Tarifas de inventario de Logística de Amazon","","","Tarifa por almacenamiento de Logística de Amazon","","Amazon.es","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-39,95","-39,95"
"7 mar 2025 19:33:05 UTC","24402118732","Pedido","404-1370542-1108314","L7-UJO5-2Z9P","BUTIRESIN Juego de Resina Epoxi, 16z/474ml, Transparente, No Tóxica, Proporción 1:1; Apto para alimentos y sin olores, sin burbujas, revestimiento a","1","amazon.es","Amazon","Pollença","Islas Baleares / Illes Balears","07460","MarketplaceFacilitator","12,51","2,63","0","0","0","0","-2,50","-0,53","-2,10","-1,82","-4,05","-0,04","0","4,10"
"7 mar 2025 22:22:14 UTC","24402118732","Transferir","","","A la cuenta acabada en 332","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-109,58","-109,58"
"8 mar 2025 0:07:12 UTC","24402118732","Pedido","408-1187074-2375552","L8-JVRH-OZ94","EPRESINART Resina Epoxi, 36oz/1064ml 1:1 Epoxy Resina No TóxicaTransparente Kit para Madera, Creaciones Artísticas, Restauración, Azulejos de Pared","1","amazon.es","Amazon","Madrid","Madrid","28016","MarketplaceFacilitator","18,05","3,79","0","0","0","0","0","0","-3,79","-2,84","-9,38","-0,06","0","5,77"
