"Inclut les transactions Amazon Marketplace, Expédié par Amazon et Amazon Webstore"
"Tous les montants sont en EUR, sauf mention contraire."
"Définitions :"
"Taxes collectées sur les ventes : inclut les taxes collectées auprès des acheteurs sur la vente de produits, la livraison et l'emballage."
"Frais de vente : Incluent des frais de clôture variable et des frais de référence."
"Autres frais de transaction : incluent les contestations de prélèvement, les retenues sur expédition"
"Autre : inclut les montants non-liés aux commandes. Pour de plus amples renseignements, consultez les colonnes ""Type"" et ""Description"" pour chaque commande."
"date/heure","numéro de versement","type","numéro de la commande","sku","description","quantité","Marketplace","traitement","ville d'où provient la commande","Région d'où provient la commande","code postal de la commande","Modèle de perception des taxes","ventes de produits","Taxes sur la vente des produits","crédits d'expédition","taxe sur les crédits d’expédition","crédits sur l'emballage cadeau","Taxes sur les crédits cadeaux","Rabais promotionnels","Taxes sur les remises promotionnelles","Taxes retenues sur le site de vente","frais de vente","Frais Expédié par Amazon","autres frais de transaction","autre","total"
"2 mars 2025 22:38:11 UTC","24361808432","Commande","406-8788680-9628329","LZ-1BCI-EQUM","EPRESINART Resine Epoxy Transparente et Durcisseur, 1064ml Non Toxique 1: 1 Kit Resine Epoxy Complet Débutant pour Bijoux Moule Table Créations Arti","1","amazon.fr","Amazon","St Jean Saverne","","67700","MarketplaceFacilitator","22,56","4,51","0","0","0","0","0","0","-4,51","-3,52","-5,97","-0,19","0","12,88"
"2 mars 2025 22:55:14 UTC","24361808432","Commande","405-3696355-0952352","LZ-1BCI-EQUM","EPRESINART Resine Epoxy Transparente et Durcisseur, 1064ml Non Toxique 1: 1 Kit Resine Epoxy Complet Débutant pour Bijoux Moule Table Créations Arti","1","amazon.fr","Amazon","Mont St Eloi","","62144","MarketplaceFacilitator","22,56","4,51","0","0","0","0","0","0","-4,51","-3,52","-5,97","-0,19","0","12,88"
"2 mars 2025 23:20:43 UTC","24361808432","Commande","403-1599518-6965904","LZ-1BCI-EQUM","EPRESINART Resine Epoxy Transparente et Durcisseur, 1064ml Non Toxique 1: 1 Kit Resine Epoxy Complet Débutant pour Bijoux Moule Table Créations Arti","1","amazon.fr","Amazon","CESCAU","","64170","MarketplaceFacilitator","22,56","4,51","0","0","0","0","0","0","-4,51","-3,52","-5,97","-0,19","0","12,88"
"3 mars 2025 08:01:05 UTC","24375704212","Commande","405-8307215-4382756","EPR-EU1G","EPRESINART Resine Epoxy,3785ml 1:1 Résine époxy et Durcisseur transparente pour Bois, l'artisanat et l'art, Tables de Rivière, Fabrication de Bijou","1","amazon.fr","Amazon","Sevran","","93270","MarketplaceFacilitator","58,32","11,67","0","0","0","0","-5,83","-1,17","-10,50","-8,19","-9,67","-0,35","0","34,28"
"3 mars 2025 16:21:34 UTC","24375704212","Commande","402-6108778-3409966","LZ-1BCI-EQUM","EPRESINART Resine Epoxy Transparente et Durcisseur, 1064ml Non Toxique 1: 1 Kit Resine Epoxy Complet Débutant pour Bijoux Moule Table Créations Arti","1","amazon.fr","Amazon","Saint-Georges-d'Orques","","34680","","22,56","0","0","0","0","0","0","0","0","-3,52","-5,97","-0,19","0","12,88"
"3 mars 2025 17:27:59 UTC","24375704212","Commande","171-5455465-7008344","EPO-110116","EPRESINART Kit de résine époxy pour débutants, 532ml résine époxy non toxique, résine de moulage transparente, rapport 1:1, résine époxy pour","1","amazon.fr","Amazon","coux","","17130","MarketplaceFacilitator","15,82","3,17","1,66","0,33","0","0","-1,66","-0,33","-3,17","-2,47","-8,55","-0,22","0","4,58"
"3 mars 2025 20:09:20 UTC","24375704212","Commande","405-6007130-3645919","LZ-1BCI-EQUM","EPRESINART Resine Epoxy Transparente et Durcisseur, 1064ml Non Toxique 1: 1 Kit Resine Epoxy Complet Débutant pour Bijoux Moule Table Créations Arti","1","amazon.fr","Amazon","Thun est Amand","Nord","59158","MarketplaceFacilitator","22,56","4,51","0","0","0","0","0","0","-4,51","-3,52","-5,97","-0,19","0","12,88"
"3 mars 2025 21:39:23 UTC","24375704212","Commande","404-4232900-6697145","LZ-1BCI-EQUM","EPRESINART Resine Epoxy Transparente et Durcisseur, 1064ml Non Toxique 1: 1 Kit Resine Epoxy Complet Débutant pour Bijoux Moule Table Créations Arti","1","amazon.fr","Amazon","FEROLLES","","45150","MarketplaceFacilitator","22,56","4,51","0","0","0","0","0","0","-4,51","-3,52","-5,97","-0,19","0","12,88"
"3 mars 2025 22:00:20 UTC","24375704212","","3524d18e-4349-4478-84f0-42038782f0b0","","秒杀-2025/01/21 3-4-49-863","","Amazon.fr","","","","","","0","0","0","0","0","0","0","0","0","0","0","-20,00","0","-20,00"
"3 mars 2025 22:04:48 UTC","24375704212","Commande","406-0878032-5572326","LZ-1BCI-EQUM","EPRESINART Resine Epoxy Transparente et Durcisseur, 1064ml Non Toxique 1: 1 Kit Resine Epoxy Complet Débutant pour Bijoux Moule Table Créations Arti","1","amazon.fr","Amazon","Dottignies","Hainaut","7711","","22,56","0","0","0","0","0","0","0","0","-3,52","-5,97","-0,19","0","12,88"
"3 mars 2025 22:23:57 UTC","24375704212","Commande","171-0737915-3536327","LZ-1BCI-EQUM","EPRESINART Resine Epoxy Transparente et Durcisseur, 1064ml Non Toxique 1: 1 Kit Resine Epoxy Complet Débutant pour Bijoux Moule Table Créations Arti","1","amazon.fr","Amazon","Fenioux","","79160","MarketplaceFacilitator","22,56","4,51","0","0","0","0","-1,13","-0,22","-4,29","-3,34","-5,97","-0,19","0","11,93"
"4 mars 2025 00:10:17 UTC","24375704212","Commande","402-3556577-2592309","LZ-1BCI-EQUM","EPRESINART Resine Epoxy Transparente et Durcisseur, 1064ml Non Toxique 1: 1 Kit Resine Epoxy Complet Débutant pour Bijoux Moule Table Créations Arti","1","amazon.fr","Amazon","Bordeaux","","33000","MarketplaceFacilitator","22,56","4,51","0","0","0","0","0","0","-4,51","-3,52","-5,97","-0,19","0","12,88"
"4 mars 2025 00:10:32 UTC","24375704212","Commande","407-7458938-4545142","EPO-110116","EPRESINART Kit de résine époxy pour débutants, 532ml résine époxy non toxique, résine de moulage transparente, rapport 1:1, résine époxy pour","1","amazon.fr","Amazon","Thouars","","79100","MarketplaceFacilitator","15,82","3,17","0","0","0","0","-1,58","-0,32","-2,85","-2,22","-8,55","-0,21","0","3,26"
"4 mars 2025 00:21:33 UTC","24375704212","Transfert","","","Sur le compte se terminant par : 332","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-25,48","-25,48"
