"Amazon 出品サービス、フルフィルメント by Amazon (FBA)"
"指定のない場合、単位は円"
"定義："
"売上税徴収額：商品売上、配送料、ギフト包装料として購入者から徴収した売上税"
"販売手数料：カテゴリー成約料と販売手数料が含まれます。"
"トランザクションに関するその他の手数料：FBA 配送料のチャージバックまたは、出品者出荷の配送料にかかる手数料"
"その他：注文以外に関する取引金額。詳しくは、各注文番号のトランザクションの種類と、説明の各項目をご覧ください。"
"日付/時間","決済番号","トランザクションの種類","注文番号","SKU","説明","数量","Amazon 出品サービス","フルフィルメント","市町村","都道府県","郵便番号","税金徴収型","商品売上","商品の売上税","配送料","配送料の税金","ギフト包装手数料","ギフト包装クレジットの税金","Amazonポイントの費用","プロモーション割引額","プロモーション割引の税金","源泉徴収税を伴うマーケットプレイス","手数料","FBA 手数料","トランザクションに関するその他の手数料","その他","合計"
"2025/03/01 6:58:37 JST","11972502343","注文","503-0464662-7319866","UW-KL22-Q1XS","YOBTOP レジン液 2液性レジン液 大容量 948ml/32oz エポキシ樹脂 ハードタイプ 高い透明 気泡なし 黄変なし DIY 手芸�","1","amazon.jp","Amazon","","福島県","963-613","","3,545","354","0","0","0","0","-39","-455","-45","0","-504","-465","0","0","2,391"
"2025/03/01 8:20:07 JST","11972502343","注文","503-9067106-6033407","CP-WP0D-ZDP5","レジン用 UV ランプ、LED デジタル表示と時間設定","1","amazon.jp","Amazon","","新潟県","942-020","","2,363","236","0","0","0","0","0","-2,363","-236","0","-30","-318","0","0","-348"
"2025/03/01 17:26:31 JST","11972502343","注文","250-1242885-5785409","CP-WP0D-ZDP5","レジン用 UV ランプ、LED デジタル表示と時間設定","1","amazon.jp","Amazon","","京都府","610-114","","2,363","236","0","0","0","0","0","-2,363","-236","0","-30","-318","0","0","-348"
"2025/03/01 17:54:34 JST","11972502343","注文","S03-3587987-6908614","GT-USMC-4DRX","YOBTOP UVレジン 300g UV-LED対応 レジン大容量 透明度が高く 硬化が速いレジン液 ハードタイプ DIY用 UVレジン液 イヤリング ネックレス 手作りアクセサリー","1","jp-shipment-injection.stores.amazon.co.jp","Amazon","","山形県","999-316","","0","0","0","0","0","0","0","0","0","0","0","-615","0","0","-615"
"2025/03/01 18:59:48 JST","11972502343","注文","S03-1632206-9705415","V3-QS5R-YQ1Z","YOBTOP レジン液 400g UVレジン液 大容量 高い透明 急速に硬化 非毒性 VOCなし 85D ハード 低粘度 詰替用 初心者 UVレジン UV-LED対応 DIY 手作りクラフト ジュエリー デザイン 用途広い","1","jp-shipment-injection.stores.amazon.co.jp","Amazon","","奈良県","636-081","","0","0","0","0","0","0","0","0","0","0","0","-615","0","0","-615"
"2025/03/01 19:19:55 JST","11972502343","注文","503-9975665-4366211","GT-USMC-4DRX","YOBTOP UVレジン 300g UV-LED対応 レジン大容量 透明度が高く 硬化が速いレジン液 ハードタイプ DIY用 UVレジン液 イヤ","1","amazon.jp","Amazon","","埼玉県","333-081","","1,800","180","0","0","0","0","-20","0","0","0","-294","-318","0","0","1,348"
"2025/03/01 19:36:19 JST","11972502343","注文外料金","","","広告費用","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-50,500","0","-50,500"
"2025/03/01 19:54:07 JST","11972502343","注文","503-9846766-3771028","GT-USMC-4DRX","YOBTOP UVレジン 300g UV-LED対応 レジン大容量 透明度が高く 硬化が速いレジン液 ハードタイプ DIY用 UVレジン液 イヤ","1","amazon.jp","Amazon","","大阪府","599-812","","1,800","180","0","0","0","0","-20","0","0","0","-294","-318","0","0","1,348"
"2025/03/01 21:23:58 JST","11972502343","注文","250-4972628-8303817","SD-2XD4-UYOS","YOBTOP レジン液 600g UVレジン液 大容量 高い透明 急速に硬化 非毒性 VOCなし 85D ハード 低粘度 詰替用 初心者 UVレ�","1","amazon.jp","Amazon","","宮城県","989-630","","2,617","262","0","0","0","0","-36","-262","-26","0","-256","-318","0","0","1,981"
"2025/03/01 23:23:21 JST","11972502343","注文","250-8311078-8201436","CP-WP0D-ZDP5","レジン用 UV ランプ、LED デジタル表示と時間設定","1","amazon.jp","Amazon","","鹿児島県","890-000","","2,363","236","0","0","0","0","0","-2,363","-236","0","-30","-318","0","0","-348"
"2025/03/01 23:33:16 JST","11972502343","注文","249-0744461-8297468","GK-WSB2-NHZD","YOBTOP レジン液 2液性レジン液 大容量 474ml/16oz エポキシ樹脂 ハードタイプ 高い透明 気泡なし 黄変なし DIY 手芸�","1","amazon.jp","Amazon","","宮城県","983-004","","2,090","209","0","0","0","0","-23","0","0","0","-341","-455","0","0","1,480"
"2025/03/02 1:42:10 JST","11972502343","注文","249-6017157-0339001","36-D294-3P6Z","YOBTOP【最新2025】UVライト 2in1 - 両面照射、360度光源・48W、長時間タイマー設定（60秒～600秒）、48個のLED搭載、デ","1","amazon.jp","Amazon","","愛知県","441-320","","6,345","635","0","0","0","0","-70","-909","-91","0","-591","-485","0","0","4,834"
"2025/03/02 3:44:49 JST","11972502343","注文","250-4412418-0650216","UW-KL22-Q1XS","YOBTOP レジン液 2液性レジン液 大容量 948ml/32oz エポキシ樹脂 ハードタイプ 高い透明 気泡なし 黄変なし DIY 手芸�","1","amazon.jp","Amazon","","千葉県","273-003","","3,545","354","0","0","0","0","-39","-455","-45","0","-504","-465","0","0","2,391"
"2025/03/02 4:27:46 JST","11972502343","注文","503-2977484-5728609","36-D294-3P6Z","YOBTOP【最新2025】UVライト 2in1 - 両面照射、360度光源・48W、長時間タイマー設定（60秒～600秒）、48個のLED搭載、デ","1","amazon.jp","Amazon","","栃木県","328-001","","6,345","635","0","0","0","0","-70","-909","-91","0","-591","-485","0","0","4,834"
"2025/03/02 4:31:21 JST","11972502343","注文外料金","b82c2183-63a6-4251-99df-bf54311d4c2a","","クーポン償還手数料: ¥400の割引 UVレジン 400g","2","Amazon.co.jp","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-120","0","-120"
"2025/03/02 4:31:33 JST","11972502343","注文外料金","40b0709c-8c20-4d19-a049-cd1997408f9a","","クーポン償還手数料: ¥500の割引 レジン液 2液性 32oz","3","Amazon.co.jp","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-180","0","-180"
"2025/03/02 4:35:35 JST","11972502343","注文外料金","f4fb4a61-d2af-4e7a-a4e8-5eb4b25768a1","","クーポン償還手数料: ¥500の割引 UVレジン 600g","1","Amazon.co.jp","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-60","0","-60"
"2025/03/02 5:25:38 JST","11972502343","注文","249-3006508-0757430","UW-KL22-Q1XS","YOBTOP レジン液 2液性レジン液 大容量 948ml/32oz エポキシ樹脂 ハードタイプ 高い透明 気泡なし 黄変なし DIY 手芸�","1","amazon.jp","Amazon","","熊本県","863-250","","3,545","354","0","0","0","0","-39","0","0","0","-579","-465","0","0","2,816"
"2025/03/02 5:59:37 JST","11972502343","注文","250-2305524-0231068","V3-QS5R-YQ1Z","YOBTOP レジン液 400g UVレジン液 大容量 高い透明 急速に硬化 非毒性 VOCなし 85D ハード 低粘度 詰替用 初心者 UVレ�","1","amazon.jp","Amazon","","大分県","871-015","","2,255","225","0","0","0","0","-25","0","0","0","-246","-318","0","0","1,891"
