"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Eingezogene Umsatzsteuer: Einschließlich von Käufern eingezogene Umsatzsteuer für Produktverkäufe, Versand und Geschenkverpackung."
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Steuererhebungsmodell","Umsätze","Produktumsatzsteuer","Gutschrift für Versandkosten","Steuer auf Versandgutschrift","Gutschrift für Geschenkverpackung","Steuer auf Geschenkverpackungsgutschriften","Rabatte aus Werbeaktionen","Steuer auf Aktionsrabatte","Einbehaltene Steuer auf Marketplace","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"04.03.2025 16:46:52 UTC","24347707382","Erstattung","305-9622375-4757137","L8-JVRH-OZ94","EPRESINART Epoxidharz, 36oz/1064ml 1:1 Ratio, Ungiftiges, klares Epoxidharz Holz Kit, Kunstgestaltung, Restaurierung, Wandfliesen, Bodenbeläge","1","amazon.de","Amazon","Stuttgart","Baden Württemberg","70565","MarketplaceFacilitator","-23,94","-4,55","0","0","0","0","0","0","4,55","2,96","0","0","0","-20,98"
"04.03.2025 20:44:24 UTC","24347707382","Bestellung","306-9928902-1753162","L8-JVRH-OZ94","EPRESINART Epoxidharz, 36oz/1064ml 1:1 Ratio, Ungiftiges, klares Epoxidharz Holz Kit, Kunstgestaltung, Restaurierung, Wandfliesen, Bodenbeläge","1","amazon.de","Amazon","Berlin","","10969","MarketplaceFacilitator","23,94","4,55","0","0","0","0","0","0","-4,55","-3,70","-4,13","0","0","16,11"
"04.03.2025 21:06:12 UTC","24347707382","Bestellung","028-6520540-3085114","9W-G2D2-1J3T","BUTIRESIN Epoxidharz Set, 32oz/948ml, Transparent, Ungiftig, 1: 1-Verhältnis; Lebensmittelecht Und Geruchsarm, Blasenfrei,Beschichten, Kunst","1","amazon.de","Amazon","Logatec","","","MarketplaceFacilitator","19,74","4,34","3,41","0,75","0","0","-7,36","-1,62","-3,47","-2,50","-4,13","0","0","9,16"
"04.03.2025 21:07:16 UTC","24347707382","Bestellung","028-8659463-3715501","EPR-EU1G","EPRESINART Epoxidharz Set,3785ml Ungiftig Epoxidharz Klar Gießharz,1:1 Guss kristallklarer Epoxy Resin Klar Set fur Deko Tischplatte,Holz,Schmuck Art","1","amazon.de","Amazon","Vaterstetten","","85591","MarketplaceFacilitator","55,87","10,62","0","0","0","0","0","0","-10,62","-8,64","-5,69","0","0","41,54"
"04.03.2025 21:38:57 UTC","24347707382","Bestellung","028-1656862-5542731","L7-UJO5-2Z9P","BUTIRESIN Epoxidharz Set, 16oz/474ml, transparent, ungiftig, 1: 1-Verhältnis; einfach zu mischendes Harz, Lebensmittelecht und geruchsarm, blasenfrei","1","amazon.de","Amazon","Paderborn","Nordrhein-Westfalen","33100","MarketplaceFacilitator","10,24","1,95","0","0","0","0","-1,54","-0,29","-1,66","-1,35","-3,51","0","0","3,84"
"04.03.2025 21:45:54 UTC","24347707382","Bestellung","028-1566492-2367545","L7-UJO5-2Z9P","BUTIRESIN Epoxidharz Set, 16oz/474ml, transparent, ungiftig, 1: 1-Verhältnis; einfach zu mischendes Harz, Lebensmittelecht und geruchsarm, blasenfrei","1","amazon.de","Amazon","Illingen","Baden-Württemberg","75428","MarketplaceFacilitator","10,24","1,95","3,35","0,64","0","0","-1,54","-0,29","-2,30","-1,35","-6,78","0","0","3,92"
"04.03.2025 21:57:26 UTC","24347707382","Bestellung","302-9953470-9161906","EPO-110116","EPRESINART Epoxidharz Set Anfänger, 18oz/532ml Ungiftig Epoxidharz Klar Gießharz Set, 1: 1-Verhältnis Epoxy Resin fur Holz, Schmuck Art, Deko Tisch","1","amazon.de","Amazon","Dülmen","","48249","MarketplaceFacilitator","14,28","2,71","0","0","0","0","0","0","-2,71","-2,21","-3,51","0","0","8,56"
"04.03.2025 22:01:48 UTC","24347707382","Bestellung","304-1524901-6180342","L7-UJO5-2Z9P","BUTIRESIN Epoxidharz Set, 16oz/474ml, transparent, ungiftig, 1: 1-Verhältnis; einfach zu mischendes Harz, Lebensmittelecht und geruchsarm, blasenfrei","1","amazon.de","Amazon","Zeven","","27404","MarketplaceFacilitator","13,44","2,55","0","0","0","0","-2,02","-0,38","-2,17","-1,77","-3,41","0","0","6,24"
"04.03.2025 22:03:36 UTC","24347707382","Bestellung","306-1374827-5509946","9W-G2D2-1J3T","BUTIRESIN Epoxidharz Set, 32oz/948ml, Transparent, Ungiftig, 1: 1-Verhältnis; Lebensmittelecht Und Geruchsarm, Blasenfrei,Beschichten, Kunst","1","amazon.de","Amazon","Ruhpolding","","83324","MarketplaceFacilitator","19,74","3,75","0","0","0","0","-3,95","-0,75","-3,00","-2,44","-4,13","0","0","9,22"
"04.03.2025 22:34:14 UTC","24347707382","Bestellung","305-2352461-0393144","UV-002","UV Harz 500g, UV Harz klar, Upgrade UV Resin hart, kristallklares Transparent UV Schnellhärtende UV Epoxidharz für Schmuck Herstellung DIY Handwerk","2","amazon.de","Amazon","Velenje","slovenia","","MarketplaceFacilitator","43,10","9,48","3,78","0,84","0","0","-3,78","-0,84","-9,48","-6,66","-6,82","0","0","29,62"
